Designator,Mid X,Mid Y,Rotation,Layer
C1,133.858,-93.345,270.0,top
C10,127.379,-70.358,0.0,top
C100,95.57,-42.799,180.0,top
C101,95.57,-44.831,180.0,top
C102,95.57,-46.863,180.0,top
C103,169.418,-82.4992,270.0,top
C104,169.418,-86.4108,90.0,top
C105,169.418,-96.3676,270.0,top
C106,169.418,-100.3808,90.0,top
C11,144.907,-67.183,270.0,top
C12,141.9,-98.806,180.0,top
C13,131.699,-67.183,270.0,top
C14,138.303,-67.183,90.0,top
C15,157.8356,-55.626,90.0,top
C16,165.9128,-50.6476,0.0,top
C17,167.644,-61.341,180.0,top
C18,165.1,-67.214,270.0,top
C19,141.9,-99.822,180.0,top
C2,128.016,-64.135,90.0,top
C20,151.892,-67.245,270.0,top
C21,148.336,-90.867,0.0,top
C22,150.368,-90.867,180.0,top
C23,158.496,-67.214,90.0,top
C24,151.003,-57.757,90.0,top
C25,128.27,-56.515,270.0,top
C26,156.464,-48.514,180.0,top
C27,118.1608,-84.7344,0.0,top
C28,113.411,-111.252,225.0,top
C29,170.942,-56.388,90.0,top
C3,135.382,-59.5376,180.0,top
C30,149.098,-50.673,180.0,top
C31,169.1132,-50.6984,180.0,top
C32,121.92,-95.25,180.0,top
C33,128.524,-82.962637,90.0,top
C34,135.636,-51.308,90.0,top
C35,127.379,-72.39,0.0,top
C36,126.492,-82.998465,90.0,top
C37,158.75,-83.394,180.0,top
C38,133.985,-79.756,90.0,top
C39,132.334,-91.186,180.0,top
C4,132.842,-93.345,270.0,top
C40,142.979,-93.674,180.0,top
C41,142.494,-78.994,0.0,top
C42,120.523,-56.642,90.0,top
C43,161.544,-83.394,0.0,top
C44,120.269,-66.421,90.0,top
C45,120.269,-63.246,270.0,top
C46,158.722,-97.392,180.0,top
C47,161.544,-97.409,0.0,top
C48,163.068,-88.728,270.0,top
C49,163.068,-86.696,90.0,top
C5,146.431,-84.328,270.0,top
C50,163.068,-84.664,90.0,top
C51,163.068,-102.726,270.0,top
C52,163.068,-100.694,90.0,top
C53,163.068,-98.662,90.0,top
C54,128.016,-60.325,270.0,top
C55,128.016,-62.23,90.0,top
C56,121.92,-94.234,180.0,top
C57,120.394,-78.735,0.0,top
C58,163.068,-82.223,270.0,top
C59,163.068,-80.219,90.0,top
C6,147.828,-84.328,270.0,top
C60,163.068,-78.187,90.0,top
C61,157.607,-76.663,0.0,top
C62,159.512,-76.663,180.0,top
C63,163.068,-96.249,270.0,top
C64,163.068,-94.217,90.0,top
C65,163.068,-92.157,90.0,top
C66,157.607,-90.661,0.0,top
C67,159.54,-90.661,180.0,top
C68,147.574,-106.807,90.0,top
C69,165.354,-106.807,90.0,top
C7,149.5064,-69.9516,0.0,top
C70,120.015,-76.576,90.0,top
C71,120.396,-71.2724,0.0,top
C72,127.379,-76.454,0.0,top
C73,127.508,-82.962637,90.0,top
C74,125.476,-82.998465,90.0,top
C75,124.966,-69.342,180.0,top
C76,127.379,-74.422,0.0,top
C77,121.539,-65.913,90.0,top
C78,148.082,-82.042,90.0,top
C79,135.2804,-73.1012,0.0,top
C8,145.9484,-50.6476,0.0,top
C80,158.9024,-73.4568,270.0,top
C81,97.7392,-35.1536,180.0,top
C82,99.187,-44.097,90.0,top
C83,96.901,-86.487,0.0,top
C84,96.901,-88.646,0.0,top
C85,96.901,-90.805,0.0,top
C86,97.917,-93.599,90.0,top
C87,107.696,-96.647,90.0,top
C88,100.965,-84.455,0.0,top
C89,111.506,-96.139,270.0,top
C9,148.1328,-61.341,180.0,top
C90,104.394,-86.106,90.0,top
C91,106.807,-86.106,90.0,top
C92,109.22,-86.106,90.0,top
C93,111.633,-86.106,90.0,top
C94,115.443,-81.28,270.0,top
C95,125.476,-92.456,90.0,top
C96,128.016,-92.456,90.0,top
C97,122.047,-57.559,90.0,top
C98,115.1128,-69.7992,90.0,top
C99,95.57,-40.767,180.0,top
D1,127.508,-87.376,0.0,top
D10,96.494,-52.33,90.0,top
D11,96.52,-79.119,90.0,top
D12,119.7356,-50.038,270.0,top
D13,138.303,-64.262,270.0,top
D14,140.3604,-73.3552,270.0,top
D15,140.3096,-61.214,90.0,top
D16,143.4084,-61.214,90.0,top
D17,147.5232,-51.4604,90.0,top
D18,158.496,-64.262,270.0,top
D19,161.798,-74.0664,180.0,top
D2,150.114,-78.0796,180.0,top
D20,160.4264,-61.2648,90.0,top
D21,163.5252,-61.2648,90.0,top
D22,167.4876,-51.4604,90.0,top
D23,122.873,-66.548,180.0,top
D24,123.063,-57.658,90.0,top
D25,123.063,-51.308,270.0,top
D26,123.063,-52.959,90.0,top
D27,146.558,-60.6044,270.0,top
D28,166.243,-60.96,270.0,top
D29,125.349,-102.87,90.0,top
D3,96.529,-70.11,90.0,top
D30,150.114,-76.4032,180.0,top
D31,103.124,-90.424,180.0,top
D32,114.808,-79.751,180.0,top
D33,114.808,-71.2724,180.0,top
D34,169.7736,-90.2716,90.0,top
D4,107.061,-39.878,270.0,top
D5,117.325,-96.901,0.0,top
D6,101.854,-36.068,90.0,top
D8,96.47,-61.22,90.0,top
F1,108.077,-33.655,0.0,top
J2,96.365,-122.44,90.0,top
J5,117.495006,-111.587872,315.0,top
L1,167.0835,-82.042,180.0,top
L2,167.132,-96.012,180.0,top
L3,167.0835,-86.7664,180.0,top
L4,167.132,-100.7364,180.0,top
L5,126.746,-91.948,90.0,top
L6,97.7392,-37.9984,180.0,top
L7,109.855,-91.694,270.0,top
P1,120.727,-45.379,0.0,top
Q1,102.98,-70.098,180.0,top
Q2,102.98,-61.208,180.0,top
